Sample ID,Date,Season,Year,Collector,PlantCondition,PlantPortion,WhoCleaned/Dried,Strata,Habitat,SiteCode,Site,Pair,SiteType,PairID,Taxa,SampleType,Species,SppAb,Iso_Triplicate?,TrayName,%N,ugN ,D15N ,%C,mgC,D13C ,%S,ugS,D34S ,CSIB_Notes,UCB_Notes,Inventory_Notes
NP21.273,5/1/21,Summer,2021,USGS,Green,stems,USGS,INT4,Interior,WH,Wheeler,P2,Res,P2_Res,Emergent,Emergent,Schoenoplectus acutus,Tule,0,,1.925716151,61.2377736,7.608695225,45.58973899,1.4497537,-26.33735457,0.153991509,4.89693,12.65955463,0,0,0
NP21.243,5/1/21,Summer,2021,USGS,Green,Stem,USGS,INT4,Interior,CH,Chipps,P2,Ref,P2_Ref,Emergent,Emergent,Schoenoplectus americanus,Tule,Y,,2.283597631,69.60893413,5.94811759,42.6717553,1.3007764,-28.06009423,0.501019265,15.2734725,27.18270995,0,0,0
NP20.008,5/1/20,Summer,2020,USGS,Green,stem,USGS,INT6,Interior,CH,Chipps,P2,Ref,P2_Ref,Emergent,Emergent,Schoenoplectus californicus,Tule,0,,1.435207278,45.35255,2.881905774,46.47746519,1.4686879,-26.11523927,0.123875291,1.969617125,18.81886122,S rerun sample,0,0
NP21.299,5/1/21,Summer,2021,USGS,Green,Stem,USGS,INT3,Interior,CH,Chipps,P2,Ref,P2_Ref,Emergent,Emergent,Schoenoplectus californicus,Tule,0,,1.454159088,44.642684,9.360816262,35.20072964,1.0806624,-27.51153677,0.398256107,12.2264625,12.05594104,0,0,0
NP20.380,5/1/20,Summer,2020,USGS,Brown,"Leaves, but most much larger thn expect for typha",USGS,INT2,Interior,CH,Chipps,P2,Ref,P2_Ref,Emergent,Emergent,Typha,Typha,0,,1.708854506,54.6833442,10.86094686,41.35821563,1.3234629,-27.56605597,0.139545938,4.46547,13.56371336,0,0,looks like previously dead bottom portion of plant
NP21.258,5/1/21,Summer,2021,USGS,Green with burnt areas,Leaves,USGS,INT3,Interior,CH,Chipps,P2,Ref,P2_Ref,Emergent,Emergent,Typha,Typha,0,,2.108244438,65.8826387,10.86651917,46.025216,1.438288,-27.26218705,0.191608,5.98775,13.67914061,0,0,0
NP20.165,6/1/20,Summer,2020,USGS,Green,Leaf,UCB,INT3,Interior,WH,Wheeler,P2,Res,P2_Res,Emergent,Emergent,Typha,Typha,0,,2.814474218,85.2785688,6.712947953,48.94151155,1.4829278,-29.70139162,0.303359406,9.19179,15.73148727,0,0,0
NP20.225,6/1/20,Summer,2020,USGS,Green,leaves,UCB,INT2,Interior,WH,Wheeler,P2,Res,P2_Res,Emergent,Emergent,Typha,Typha,0,,2.878651399,90.9653842,8.409946081,48.09565823,1.5198228,-27.34192145,0.209581329,6.62277,14.02123772,0,0,IDed after frozen by UCB
NP21.118,7/8/21,Summer,2021,USGS/UCB,0,0,UCB,INT3,Interior,WH,Wheeler,P2,Res,P2_Res,Emergent,Emergent,Typha,Typha,0,,1.914125068,60.7734709,10.04982361,49.53398425,1.572704,-27.77845385,0.204138268,6.48139,15.16537079,0,0,0
NP21.001,5/27/21,Summer,2021,UCB,0,0,UCB,EXT5,Exterior,CH,Chipps,P2,Ref,P2_Ref,FAV,FAV,Alternanthera philoxeroides,Alternanthera,,NSAVFAV_T01,4.09013245,123.522,11.91655327,38.54793377,1.1641476,-27.70732693,0.309359338,9.342652,20.53352258,,0,0
NP21.122,7/8/21,Summer,2021,USGS/UCB,0,0,UCB,EXTA,Exterior,WH,Wheeler,P2,Res,P2_Res,FAV,FAV,Alternanthera philoxeroides,Alternanthera,,NSAVFAV_T01,3.612125786,114.8656,11.33317636,38.18245283,1.214202,-28.76953895,0.239803522,7.625752,20.30426813,,0,0
NP21.129,7/8/21,Summer,2021,USGS/UCB,0,0,UCB,INTD,Interior,CH,Chipps,P2,Ref,P2_Ref,FAV,FAV,Alternanthera philoxeroides,Alternanthera,,NSAVFAV_T01,3.731365079,117.538,12.48255191,30.41531429,0.9580824,-27.37205013,0.317063746,9.987508,20.63027216,,0,0
NP21.123,7/8/21,Summer,2021,USGS/UCB,0,0,UCB,INTC,Interior,CH,Chipps,P2,Ref,P2_Ref,FAV,FAV,Alternanthera philoxeroides,Alternanthera,,NSAVFAV_T01,2.58805298,78.1592,12.23534867,26.54686093,0.8017152,-28.04870446,0.298188278,9.005286,19.18113167,,0,0
NP20.288,5/12/20,Summer,2020,ICF,green,leaves,UCB,INT3,Interior,CH,Chipps,P2,Ref,P2_Ref,FAV,FAV,Alternanthera philoxeroides,Alternanthera,,NSAVFAV_T01,5.245872757,160.786,10.00989284,45.57466884,1.3968636,-30.54715034,0.326578271,10.009624,17.8182245,,0,"ID confirmed as FAV with hollow stem, leaves present as well, in pretty good condition; IDed after frozen by UCB"
NP20.268,5/12/20,Summer,2020,ICF,green,leaves,UCB,INT1,Interior,CH,Chipps,P2,Ref,P2_Ref,FAV,FAV,Alternanthera philoxeroides,Alternanthera,,NSAVFAV_T01,6.02606874,184.0964,9.717315908,42.01531915,1.283568,-29.57940702,0.333902259,10.200714,19.1253955,,0,"IDed ater frozen, ID confirmed with presence of white flower and hollow stems"
NP21.121,7/8/21,Summer,2021,USGS/UCB,0,0,UCB,INTB,Interior,WH,Wheeler,P2,Res,P2_Res,FAV,FAV,Alternanthera philoxeroides,Alternanthera,,NSAVFAV_T01,3.314776316,100.7692,12.24452079,33.87406579,1.0297716,-28.03913182,0.333360921,10.134172,19.44508977,,0,0
NP21.015,6/16/21,Summer,2021,USGS/UCB,0,0,UCB,INTLocB,Interior,WH,Wheeler,P2,Res,P2_Res,FAV,FAV,Alternanthera philoxeroides,Alternanthera,,NSAVFAV_T01,3.714146965,116.2528,12.31638572,32.7726901,1.0257852,-26.70657358,0.244427604,7.650584,20.42730836,,0,0
NB20.007,5/12/20,Summer,2020,ICF,,,UCB,EXT3,Exterior,CH,Chipps,P2,Ref,P2_Ref,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,0.498972052,22.0795133,7.792127213,4.073717514,0.180262,-26.74179198,0.211728836,9.369001,2.319716844,,,0
NB20.031,2/13/20,Winter,2020,ICF,,,UCB,EXT,Exterior,CH,Chipps,P2,Ref,P2_Ref,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,0.500288883,22.2628553,5.060356754,6.419078652,0.285649,-27.02237006,0.343177584,15.2714025,1.135222978,,,0
NB21.021,7/13/21,Summer,2021,ICF,,,UCB,EXT5,Exterior,CH,Chipps,P2,Ref,P2_Ref,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,0.346299416,15.5488438,6.314265451,3.54352784,0.1591044,-26.46617651,0.169576777,7.6139973,2.564545161,,,0
NB20.004,5/22/20,Summer,2020,ICF,,,UCB,EXT1,Exterior,WH,Wheeler,P2,Res,P2_Res,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,1.225829493,54.1203721,6.871292408,12.8888154,0.5690412,-27.48455908,0.654198165,28.882849,6.060975456,,,0
NB21.013,6/24/21,Summer,2021,ICF,,,UCB,EXT3,Exterior,WH,Wheeler,P2,Res,P2_Res,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,1.277071453,56.0634368,10.36804289,10.1202779,0.4442802,-26.81732704,0.400646419,17.5883778,6.564561266,,,0
NB20.009,5/12/20,Summer,2020,ICF,,,UCB,INT3,Interior,CH,Chipps,P2,Ref,P2_Ref,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,0.479844448,20.6573035,5.107972186,5.860833914,0.2523089,-27.39972724,0.618270894,26.616562,0.314347794,,,0
NB20.030,2/13/20,Winter,2020,ICF,,,UCB,INT,Interior,CH,Chipps,P2,Ref,P2_Ref,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,0.621908154,25.4671389,2.891104841,9.011555556,0.3690232,-27.46486599,0.830857516,34.0236153,3.29409537,,,says phyto/spom on the tray
NB20.032,2/13/20,Winter,2020,ICF ,,,UCB,INT,Interior,CH,Chipps,P2,Ref,P2_Ref,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,0.461470721,18.8741525,3.924801778,6.268542787,0.2563834,-27.36184897,0.362770746,14.8373235,1.781887642,,,says 50um on the tray label
NB21.022,6/14/21,Summer,2021,ICF,,,UCB,INT1,Interior,CH,Chipps,P2,Ref,P2_Ref,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,0.861248192,36.3016113,6.158695407,10.39773191,0.4382644,-27.47555534,0.523225694,22.053963,3.852788994,,,0
NB21.026,3/11/21,Winter,2021,ICF,,,UCB,INT2,Interior,CH,Chipps,P2,Ref,P2_Ref,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,0.622908968,25.8818676,4.885392609,7.994519856,0.3321723,-27.47990558,0.450974777,18.738002,1.220236115,,,0
NB20.003,6/26/20,Summer,2020,ICF,,,UCB,INT3,Interior,WH,Wheeler,P2,Res,P2_Res,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,1.260752527,55.2839983,9.038686488,11.03423033,0.483851,-26.8483033,0.524906842,23.017165,3.809402304,,,0
NB21.014,6/14/21,Summer,2021,ICF,,,UCB,INT3,Interior,WH,Wheeler,P2,Res,P2_Res,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,0.747394758,29.8957903,6.671613572,7.991165,0.3196466,-23.87584438,0.455884588,18.2353835,3.512664055,,,0
NB21.023,3/11/21,Winter,2021,ICF,,,UCB,INT3,Interior,WH,Wheeler,P2,Res,P2_Res,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,0.684722511,30.0250821,5.494324666,7.650458381,0.3354726,-27.06029072,0.43807057,19.2093945,3.090023558,,,0
NP21.311,5/27/21,Summer,2021,USGS,green,algae,UCB,EXT5,Exterior,CH,Chipps,P2,Ref,P2_Ref,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,4.036558154,60.3465444,11.53067927,41.20947157,0.6160816,-14.58431881,2.596998167,38.8251226,20.23874312,,0,0
NP20.408,6/17/20,Summer,2020,USGS,Green,Algae,UCB,EXT5,Exterior,CH,Chipps,P2,Ref,P2_Ref,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,5.390228716,79.775385,14.96075393,40.95183784,0.6060872,-20.51124128,1.995449926,29.5326589,19.62926012,, ,IDed after frozen by UCB
NP21.352,6/16/21,Summer,2021,USGS/UCB,Green,Algae,UCB,EXT3,Exterior,WH,Wheeler,P2,Res,P2_Res,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,5.190028344,83.0404535,10.09199852,37.4139,0.5986224,-11.67551997,2.4696277,39.5140432,20.53403541,,0,0
NP21.306,6/25/21,Summer,2021,0,Green,Algae,UCB,INT1,Interior,CH,Chipps,P2,Ref,P2_Ref,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,5.309368248,81.4988026,10.55056512,39.74624104,0.6101048,-17.38457613,2.568540619,39.4270985,20.42577296,,0,0
NP20.376,6/17/20,Summer,2020,USGS,Green,Algae,UCB,INT4,Interior,CH,Chipps,P2,Ref,P2_Ref,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,5.663799881,90.6207981,11.00853762,38.85075,0.621612,-25.29380368,2.191786288,35.0685806,20.64811038,,0,IDED after frozen by UCB
NP21.358,no date,Summer,2021,ICF/UCB,Green,Algae,UCB,INTLocA,Interior,CH,Chipps,P2,Ref,P2_Ref,SAV-Algae,Algae,Green Algae,Algae,Y,Nalgae_T01,5.44808106,84.82446,9.965077194,40.27103997,0.627001867,-20.07997729,2.544582151,39.61669547,20.44483493,,#N/A,0
NP20.427,6/17/20,Summer,2020,USGS,Green,algae,UCB,INT6,Interior,CH,Chipps,P2,Ref,P2_Ref,SAV-Algae,Algae,Green Algae,Algae,Y,Nalgae_T01,5.268611242,79.09095483,9.571485438,36.3553584,0.5457612,-21.73724924,1.936322878,29.0674052,20.52689532,,#N/A,IDed after frozen by UCB
NP21.336,6/16/21,Summer,2021,USGS,green,algae,UCB,INT2,Interior,WH,Wheeler,P2,Res,P2_Res,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,4.252550025,66.9776629,9.157199437,36.54024127,0.5755088,-16.25843536,2.802288889,44.13605,20.57766806,,0,0
NP20.394,6/1/20,Summer,2020,USGS,Green,Algae,UCB,INT2,Interior,WH,Wheeler,P2,Res,P2_Res,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,3.824715698,58.3269144,8.884809605,36.92923279,0.5631708,-13.96209599,2.31398461,35.2882653,19.90042347,,0,IDed after frozen by UCB
NP20.339,5/22/20,Summer,2020,ICF,Green,Medium and Filamentous,UCB,INT3,Interior,WH,Wheeler,P2,Res,P2_Res,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,5.740726066,86.9719999,11.51465859,44.14891089,0.668856,-26.0752006,1.979271683,29.985966,19.78010353,,0," Mix of Medium leaf, and filamentous algae; IDed after frozen by UCB"
NP20.423,6/1/20,Summer,2020,usgs,green,algae,UCB,INT5,Interior,WH,Wheeler,P2,Res,P2_Res,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,5.730153688,88.2443668,10.51019974,43.56667532,0.6709268,-20.81035529,2.232316162,34.3776689,19.98917522,,0,0
NP21.330,6/16/21,Summer,2021,USGS,greenish brown,Algae,UCB,INT1,Interior,WH,Wheeler,P2,Res,P2_Res,SAV-Algae,Algae,Green Algae,Algae,Y,Nalgae_T01,4.31840572,66.50865993,8.838881045,38.81013582,0.597659333,-13.18901404,2.682839383,41.31311267,20.48280928,,#N/A,0
NP21.185,5/1/21,Summer,2021,USGS,Brown,Fleshy stem,USGS,EXT5,Exterior,CH,Chipps,P2,Ref,P2_Ref,SAV-Algae,SAV,Potamogeton foliosus,Potamogeton,,NSAVFAV_T01,1.65462969,50.7144,10.52623407,36.73949755,1.1260656,-16.50104264,0.286544013,8.782574,20.87845588,,0,0
NP21.282,5/1/21,Summer,2021,USGS,brown,fleshy stems,USGS,EXT3,Exterior,CH,Chipps,P2,Ref,P2_Ref,SAV-Algae,SAV,Potamogeton foliosus,Potamogeton,Y (2 sample trip),NSAVFAV_T01,1.7785127,56.151,13.73476655,37.1163299,1.171896,-19.27550625,0.27494946,8.681694,20.84953616,,#N/A,0
NP21.063,6/24/21,Summer,2021,USGS/UCB,0,0,UCB,EXT TOW,Exterior,WH,Wheeler,P2,Res,P2_Res,SAV-Algae,SAV,Potamogeton foliosus,Potamogeton,,NSAVFAV_T01,1.417274448,44.9276,13.74230178,34.67144479,1.0990848,-16.71022244,0.727787634,23.070868,20.38839821,,0,0
NP20.321,5/22/20,Summer,2020,USGS,green,stems,UCB,EXT6,Exterior,WH,Wheeler,P2,Res,P2_Res,SAV-Algae,SAV,Potamogeton foliosus,Potamogeton,,NSAVFAV_T01,4.410737542,132.7632,8.529364467,45.33607973,1.364616,-19.09869151,0.256595615,7.723528,17.71856272,,VERY little sample left,0
NP20.103,5/1/20,Summer,2020,USGS,Green,leaves,USGS,INT5,Interior,CH,Chipps,P2,Ref,P2_Ref,SAV-Algae,SAV,Potamogeton crispus,Potamogeton,,NSAVFAV_T01,4.761065831,151.878,12.9900896,42.07986207,1.3423476,-28.65240253,0.522443824,16.665958,17.96496676,,0,0
NP20.058,5/1/20,Summer,2020,USGS,Green and some contamination,Leaves,USGS,INT6,Interior,CH,Chipps,P2,Ref,P2_Ref,SAV-Algae,SAV,Potamogeton crispus,Potamogeton,,NSAVFAV_T01,3.405028939,105.8964,9.777516604,30.47120257,0.9476544,-23.61903646,0.417692605,12.99024,15.45441215,,0,some contamination like sediment and hard to separate leaves from ones with sediment
NP20.428,6/17/20,Summer,2020,USGS,Green,Leaves,UCB,INT6,Interior,CH,Chipps,P2,Ref,P2_Ref,SAV-Algae,SAV,Potamogeton crispus,Potamogeton,,NSAVFAV_T01,5.24599361,164.1996,8.819279651,44.4823131,1.3922964,-23.54728903,0.352652332,11.038018,14.89769758,,0,IDed after frozen by UCB
NP20.355,6/26/20,Summer,2020,0,Light to medium green,Leaves,UCB,INT3,Interior,WH,Wheeler,P2,Res,P2_Res,SAV-Algae,SAV,Potamogeton crispus,Potamogeton,,NSAVFAV_T01,4.012538827,126.5956,10.15210387,40.59533439,1.2807828,-19.51851395,0.228391189,7.205742,17.20706806,,"Two tin sample, wet after grinding, possible contamination","IDed after frozen by UCB, from mysid sample"
NP20.421,6/1/20,Summer,2020,usgs,green,leaves,UCB,INT5,Interior,WH,Wheeler,P2,Res,P2_Res,SAV-Algae,SAV,Potamogeton crispus,Potamogeton,,NSAVFAV_T01,4.943173432,133.96,10.60631249,44.70805904,1.2115884,-21.3888466,0.287399188,7.788518,14.04458629,,"All sample used; wet after grinding, possible contamination",0
NP21.127,7/8/21,Summer,2021,USGS/UCB,0,0,UCB,INTA,Interior,CH,Chipps,P2,Ref,P2_Ref,SAV-Algae,SAV,Potamogeton foliosus,Potamogeton,,NSAVFAV_T01,3.295213115,100.504,2.774929214,37.84158689,1.1541684,-18.99291039,0.859954295,26.228606,19.82682997,,0,0
NP21.272,5/1/21,Summer,2021,USGS,Green,Fleshy stems,USGS,INT2,Interior,WH,Wheeler,P2,Res,P2_Res,SAV-Algae,SAV,Potamogeton foliosus,Potamogeton,,NSAVFAV_T01,2.04,62.526,6.043758467,34.37986297,1.0537428,-16.79735099,0.343762936,10.536334,17.28399854,,"NP21.272, WHINT2",0
NP21.277,5/1/21,Summer,2021,USGS,Green,fleshy stems,USGS,INT1,Interior,WH,Wheeler,P2,Res,P2_Res,SAV-Algae,SAV,Potamogeton foliosus,Potamogeton,,NSAVFAV_T01,1.871987362,59.2484,2.02119088,37.87002844,1.1985864,-17.40548346,0.247241201,7.825184,24.64012173,,"NP21.277, WHINT1",0
NP21.064,6/23/21,Summer,2021,USGS/UCB,0,0,UCB,EXTB,Exterior,TR,Tule Red,P3,Res,P3_Res,Emergent,Emergent,Schoenoplectus sp.,Tule,0,,1.041534902,33.0166564,8.701310029,41.71742587,1.3224424,-25.94057589,0.231704811,7.3450425,16.02449307,0,0,0
NP20.180,6/4/20,Summer,2020,USGS,Green,Stem,UCB,EXT3,Exterior,RY,Ryer,P3,Ref,P3_Ref,Emergent,Emergent,Schoenoplectus acutus,Tule,0,,1.222167172,38.0705074,4.284779516,49.70375602,1.548272,-28.21643836,0.24639069,7.67507,14.68637118,0,0,0
NP20.252,6/4/20,Summer,2020,USGS,Green,stems,UCB,EXT2,Exterior,RY,Ryer,P3,Ref,P3_Ref,Emergent,Emergent,Schoenoplectus acutus,Tule,0,,2.186249494,68.7575466,6.60115444,47.9572655,1.508256,-27.73386267,0.231475358,7.2799,7.1675743,0,0,IDed after frozen by UCB
NP21.254,5/1/21,Summer,2021,USGS,Green with burnt ends,Stems,USGS,EXT4,Exterior,RY,Ryer,P3,Ref,P3_Ref,Emergent,Emergent,Schoenoplectus americanus,Tule,0,,2.332651226,72.8953508,7.751424186,44.4418016,1.3888063,-27.13293116,0.40374504,12.6170325,8.310917423,0,0,0
NP20.012,5/1/20,Summer,2020,USGS,Green,stem,USGS,EXT3,Exterior,TR,Tule Red,P3,Res,P3_Res,Emergent,Emergent,Schoenoplectus californicus,Tule,0,,2.274610892,70.3992071,6.941817184,44.18378029,1.367488,-28.17184717,0.219140226,6.78239,16.35701392,0,0,0
NP20.382,5/1/20,Summer,2020,USGS,Green,Stems,USGS,EXT5,Exterior,TR,Tule Red,P3,Res,P3_Res,Emergent,Emergent,Schoenoplectus californicus,Tule,0,,2.116199891,64.1208567,3.45498573,46.9169637,1.421584,-27.99645519,0.149275791,2.268992023,17.3432927,S rerun sample,0,0
NP20.178,6/4/20,Summer,2020,USGS,Green,Leaves,UCB,EXT3,Exterior,RY,Ryer,P3,Ref,P3_Ref,Emergent,Emergent,Typha,Typha,0,,2.313468257,71.9488628,4.815144941,50.31824759,1.5648975,-28.91288233,0.158659003,4.934295,10.28538937,0,0,0
NP21.072,6/24/21,Summer,2021,USGS/UCB,0,0,UCB,EXT4,Exterior,RY,Ryer,P3,Ref,P3_Ref,Emergent,Emergent,Typha,Typha,0,,1.344940013,40.9534234,6.19157343,45.29392447,1.3792,-25.66879545,0.091494209,1.431884369,9.14712444,S rerun sample,0,0
NP21.106,6/22/21,Summer,2021,USGS/UCB,0,0,UCB,EXT5,Exterior,RY,Ryer,P3,Ref,P3_Ref,Emergent,Emergent,Typha,Typha,0,,1.397824122,43.6121126,7.776844323,46.10410256,1.438448,-27.40487883,0.192245833,5.99807,12.79915027,0,0,0
NP20.023,5/1/20,Summer,2020,USGS,Green,stem,USGS,INT4,Interior,RY,Ryer,P3,Ref,P3_Ref,Emergent,Emergent,Schoenoplectus acutus,Tule,0,,1.67535795,50.7633459,5.52169125,46.090033,1.396528,-25.85905116,0.14380165,4.35719,12.95852983,0,0,0
NP21.264,5/1/21,Summer,2021,USGS,Green,Stems,USGS,INT4,Interior,RY,Ryer,P3,Ref,P3_Ref,Emergent,Emergent,Schoenoplectus acutus,Tule,0,,1.434004438,45.1711398,6.138094758,42.66263175,1.3438729,-23.66389415,0.200455,6.3143325,17.65660957,0,0,0
NP21.297,5/1/21,Summer,2021,USGS,Green,Stem,USGS,INT5,Interior,TR,Tule Red,P3,Res,P3_Res,Emergent,Emergent,Schoenoplectus acutus,Tule,0,,1.343491313,42.2528018,8.535941302,39.56749444,1.2443977,-27.82552702,0.191280286,6.015765,17.23515512,0,0,0
NP21.202,5/1/21,Summer,2021,USGS,Good,stem,USGS,INT1,Interior,RY,Ryer,P3,Ref,P3_Ref,Emergent,Emergent,Schoenoplectus californicus,Tule,Y,,1.311088112,40.92508947,9.967168262,44.46718331,1.3879428,-25.45831647,0.136524251,2.125202638,9.427301863,S rerun samples,0,0
NP20.171,5/20/20,Summer,2020,ICF,Green,Stem,UCB,INT3,Interior,TR,Tule Red,P3,Res,P3_Res,Emergent,Emergent,Schoenoplectus sp.,Tule,0,,1.960463975,61.9506616,6.198131251,45.42531646,1.43544,-28.40669407,0.320064241,10.11403,8.146140945,0,0,ID by UCB after frozen
NP20.276,6/4/20,Summer,2020,ICF,Green,Leaves,UCB,INT3,Interior,RY,Ryer,P3,Ref,P3_Ref,Emergent,Emergent,Typha,Typha,0,,2.768322745,84.710676,7.384266238,48.9475719,1.4977957,-27.23995034,0.179901716,5.5049925,9.3060917,0,0,IDed after frozen by UCB
NP20.281,6/4/20,Summer,2020,ICF,Green,Leaves,UCB,INT5,Interior,RY,Ryer,P3,Ref,P3_Ref,Emergent,Emergent,Typha,Typha,Y,,2.254468465,69.330246,7.918433476,47.69709428,1.467008,-28.24350761,0.165859969,2.580538154,14.32070004,S rerun samples,0,IDed after frozen by UCB
NP21.119,7/7/21,Summer,2021,USGS/UCB,0,0,UCB,INT1,Interior,RY,Ryer,P3,Ref,P3_Ref,Emergent,Emergent,Typha,Typha,0,,2.766891053,83.8367989,10.37420018,49.90468647,1.512112,-27.83989059,0.230085479,6.97159,13.99190078,0,0,0
NP20.173,5/20/20,Summer,2020,ICF,Green,Leaf,UCB,INT1,Interior,TR,Tule Red,P3,Res,P3_Res,Emergent,Emergent,Typha,Typha,0,,2.246232151,71.3178708,8.863725743,46.26728189,1.4689862,-29.27836295,0.181623543,5.7665475,27.17555834,0,0,ID by UCB after frozen
NP21.010,6/17/21,Summer,2021,USGS/UCB,0,0,UCB,INT6,Interior,TR,Tule Red,P3,Res,P3_Res,Emergent,Emergent,Typha,Typha,Y,,2.793433239,87.2162171,8.337358593,49.68634695,1.551221333,-26.9001727,0.175195243,5.470316667,14.62871845,0,0,0
NP21.018,6/17/21,Summer,2021,USGS/UCB,0,0,UCB,INT5,Interior,TR,Tule Red,P3,Res,P3_Res,Emergent,Emergent,Typha,Typha,0,,1.733849747,54.1828046,8.386622552,46.746112,1.460816,-27.01445825,0.15434592,4.82331,15.88240032,0,0,0
NP21.043,6/17/21,Summer,2021,USGS/UCB,0,0,UCB,INT2,Interior,TR,Tule Red,P3,Res,P3_Res,Emergent,Emergent,Typha,Typha,0,,3.048592185,97.4025203,8.128595807,50.71223787,1.620256,-27.21065946,0.240773083,7.6927,17.89165805,0,0,0
NP21.126,7/7/21,Summer,2021,USGS/UCB,0,0,UCB,EXT2New,Exterior,RY,Ryer,P3,Ref,P3_Ref,FAV,FAV,Alternanthera philoxeroides,Alternanthera,,NSAVFAV_T01,3.093219672,94.3432,8.887709038,30.62010492,0.9339132,-27.37664212,0.270308787,8.244418,19.6859121,,0,0
NP20.286,6/4/20,Summer,2020,ICF,green,leaves,UCB,INT1,Interior,RY,Ryer,P3,Ref,P3_Ref,FAV,FAV,Alternanthera philoxeroides,Alternanthera,,NSAVFAV_T01,3.745045161,116.0964,9.241983504,39.94830968,1.2383976,-29.68553855,0.222198839,6.888164,21.50522491,,0,"ID confirmed with presence of white flower and hollow stem; IDed after frozen by UCB, frozen but no freeze by date"
NP20.287,6/4/20,Summer,2020,ICF,green,stems,UCB,INT1,Interior,RY,Ryer,P3,Ref,P3_Ref,FAV,FAV,Alternanthera philoxeroides,Alternanthera,,NSAVFAV_T01,0.764222222,23.3852,11.12656153,37.48972549,1.1471856,-28.85535461,0.205861895,6.299374,22.50006302,,0,"same plant as NP20.286, drying incase want to compare with ""only hollow stem"" samples found "
NP21.113,7/6/21,Summer,2021,USGS/UCB,0,0,UCB,INTX,Interior,RY,Ryer,P3,Ref,P3_Ref,FAV,FAV,Alternanthera philoxeroides,Alternanthera,Y,NSAVFAV_T01,2.785431587,85.70493333,12.41658044,30.83688883,0.9488644,-27.29131764,0.240713449,7.406661333,20.27517315,,#N/A,0
NB20.011,6/4/20,Summer,2020,ICF,,,UCB,EXT6,Exterior,RY,Ryer,P3,Ref,P3_Ref,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,2.266824713,93.1664957,9.175150356,18.45709246,0.7585865,-29.62712182,0.6241109,25.650958,7.309480969,,,0
NB20.029,2/12/20,Winter,2020,ICF,,,UCB,EXT,Exterior,RY,Ryer,P3,Ref,P3_Ref,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,0.949118536,42.7103341,6.220503892,9.186955556,0.413413,-27.56121691,0.46297566,20.8339047,2.85990596,,,says phyto/spom on the tray
NB21.015,6/23/21,Summer,2021,ICF,,,UCB,EXT2,Exterior,RY,Ryer,P3,Ref,P3_Ref,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,2.461243378,110.017579,11.06506078,14.56203579,0.650923,-25.50880337,0.415262295,18.5622246,9.441897796,,,0
NB20.006,5/15/20,Summer,2020,ICF,,,UCB,EXT1,Exterior,TR,Tule Red,P3,Res,P3_Res,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,1.812410439,75.1244127,10.16602738,17.5124801,0.7258923,-28.6902603,0.465651894,19.301271,5.0227304,,,0
NB21.016,7/13/21,Summer,2021,ICF,,,UCB,EXT4,Exterior,TR,Tule Red,P3,Res,P3_Res,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,0.49797115,20.4417157,8.235962692,4.686333739,0.192374,-25.14761787,0.192990409,7.9222563,5.626888971,,,0
NB20.010,6/4/20,Summer,2020,ICF,,,UCB,INT6,Interior,RY,Ryer,P3,Ref,P3_Ref,Phyto,Phyto,Phytoplankton,Phyto,0,Nphyto_T01,3.125462134,126.1123971,9.189494782,22.26602974,0.8984343,-30.53688875,0.608209021,24.541234,9.047969784,,,0
