Sample ID,Date,Season,Year,Collector,PlantCondition,PlantPortion,WhoCleaned/Dried,Strata,Habitat,SiteCode,Site,Pair,SiteType,PairID,Taxa,SampleType,Species,SppAb,Iso_Triplicate?,TrayName,%N,ugN ,D15N ,%C,mgC,D13C ,%S,ugS,D34S ,CSIB_Notes,UCB_Notes,Inventory_Notes
NP20.424,6/9/20,Summer,2020,0,green,algae,UCB,EXT2,Exterior,BR,Browns,P1,Ref,P1_Ref,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,3.875796869,60.656221,11.52865186,33.62024281,0.5261568,-20.5481828,2.213619738,34.6431489,18.91746513,,0,0
NP20.368,6/9/20,Summer,2020,0,green,algae (leaves),UCB,EXT3,Exterior,BR,Browns,P1,Ref,P1_Ref,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,4.598241465,71.2727427,10.68080203,38.5008,0.5967624,-16.22128719,2.479283465,38.4288937,19.09318071,,0,IDed after frozen by UCB
NP21.356,6/10/21,Summer,2021,USGS/UCB,Green,Algae,UCB,EXT3,Exterior,SH,Sherman,P1,Res,P1_Res,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,4.862597981,76.0996584,11.95205123,40.36457508,0.6317056,-24.51518932,1.951998952,30.5487836,20.08357364,,0,0
NP21.355,6/8/21,Summer,2021,USGS/UCB,Green,Algae,UCB,EXT6,Exterior,SH,Sherman,P1,Res,P1_Res,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,4.696366638,70.6803179,11.2187691,41.00239203,0.617086,-28.19682132,2.32422889,34.9796448,20.45094428,,0,0
NP20.392,6/3/20,Summer,2020,USGS,Green,Algae,UCB,EXT1,Exterior,SH,Sherman,P1,Res,P1_Res,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,4.892918041,71.1919575,12.10447165,40.89954639,0.5950884,-21.26574068,2.48784866,36.198198,14.09303564,,0,IDed after frozen by UCB
NP21.337,6/16/21,Summer,2021,USGS/UCB,green,algae,UCB,INT5,Interior,BR,Browns,P1,Ref,P1_Ref,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,5.435122308,82.8856152,8.779943556,39.5368918,0.6029376,-22.70645672,2.419393226,36.8957467,20.78449844,, ,0
NP21.354,6/25/21,Summer,2021,USGS/UCB,Green,Algae,UCB,INT4,Interior,BR,Browns,P1,Ref,P1_Ref,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,5.6953566,91.1257056,9.352059998,41.644625,0.666314,-25.71086874,2.505052688,40.080843,20.61861532,,0,0
NP20.375,6/17/20,Summer,2020,USGS,Green,Algae,UCB,INT4,Interior,BR,Browns,P1,Ref,P1_Ref,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,4.886955041,71.8382391,8.92229423,39.07096599,0.5743432,-18.74828085,2.471808429,36.3355839,19.8925355,,0,IDED after frozen by UCB
NP21.303,6/8/21,Summer,2021,USGS/UCB,Green,Algae,UCB,INT1,Interior,SH,Sherman,P1,Res,P1_Res,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,4.397416607,66.6208616,9.066577593,41.15981518,0.6235712,-18.37507776,2.078103842,31.4832732,20.78182468,,0,0
NP20.395,6/3/20,Summer,2020,USGS,Green,Algae,UCB,INT3,Interior,SH,Sherman,P1,Res,P1_Res,SAV-Algae,Algae,Green Algae,Algae,,Nalgae_T01,5.161859532,79.4926368,10.85535028,38.86916883,0.5985852,-16.56354507,2.177539364,33.5341062,15.65005007,,0,IDed after frozen by UCB
NP20.404,5/14/20,Summer,2020,ICF,Green,Algae,UCB,INT4,Interior,SH,Sherman,P1,Res,P1_Res,SAV-Algae,Algae,Green Algae,Algae,Y,Nalgae_T01,5.389192588,80.83681277,9.483878119,40.61013178,0.609154133,-20.09401048,2.180270003,32.70470243,15.4867924,,#N/A,IDed after frozen by UCB
NP20.331,5/28/20,Summer,2020,ICF,Green,Leaves,UCB,EXT3,Exterior,BR,Browns,P1,Ref,P1_Ref,SAV-Algae,SAV,Potamogeton crispus,Potamogeton,,NSAVFAV_T01,5.522410596,166.7768,12.92278115,42.6014702,1.2865644,-24.96661775,0.289606026,8.746102,13.43852619,,"Very little sample left, wet possible methanol contamination",IDed after frozen by UCB
NP20.291,5/28/20,Summer,2020,0,green,leaves,UCB,EXT6,Exterior,BR,Browns,P1,Ref,P1_Ref,SAV-Algae,SAV,Potamogeton crispus,Potamogeton,,NSAVFAV_T01,4.740539474,144.1124,12.58233109,45.35936842,1.3789248,-25.6148464,0.224338026,6.819876,13.28353271,,All sample used,0
